UUID,Cluster,Image_Names
YES_5H1A5197,0,YES_5H1A5197.jpg
YES_5H1A5430,-1,YES_5H1A5430.jpg
YES_5H1A5381,-1,YES_5H1A5381.jpg
YES_5H1A4921,-1,YES_5H1A4921.jpg
YES_5H1A4937,0,YES_5H1A4937.jpg
YES_5H1A5368,-1,YES_5H1A5368.jpg
YES_5H1A4843,0,YES_5H1A4843.jpg
YES_5H1A4894,0,YES_5H1A4894.jpg
YES_5H1A4880,0,YES_5H1A4880.jpg
YES_5H1A5209,0,YES_5H1A5209.jpg
YES_5H1A4881,-1,YES_5H1A4881.jpg
YES_5H1A4895,0,YES_5H1A4895.jpg
YES_5H1A4856,0,YES_5H1A4856.jpg
YES_5H1A5023,0,YES_5H1A5023.jpg
YES_5H1A4498,0,YES_5H1A4498.jpg
YES_5H1A5157,-1,YES_5H1A5157.jpg
YES_5H1A4711,-1,YES_5H1A4711.jpg
YES_5H1A4936,0,YES_5H1A4936.jpg
YES_5H1A4926,0,YES_5H1A4926.jpg
YES_5H1A4932,0,YES_5H1A4932.jpg
YES_5H1A5379,-1,YES_5H1A5379.jpg
YES_5H1A4715,-1,YES_5H1A4715.jpg
YES_5H1A5345,-1,YES_5H1A5345.jpg
YES_5H1A5437,-1,YES_5H1A5437.jpg
YES_5H1A5184,-1,YES_5H1A5184.jpg
YES_5H1A5190,-1,YES_5H1A5190.jpg
YES_5H1A4852,0,YES_5H1A4852.jpg
YES_5H1A4649,-1,YES_5H1A4649.jpg
YES_5H1A4885,0,YES_5H1A4885.jpg
YES_5H1A5225,0,YES_5H1A5225.jpg
YES_5H1A4884,0,YES_5H1A4884.jpg
YES_5H1A4853,0,YES_5H1A4853.jpg
YES_5H1A5026,0,YES_5H1A5026.jpg
YES_5H1A4476,-1,YES_5H1A4476.jpg
YES_5H1A5191,-1,YES_5H1A5191.jpg
YES_5H1A4654 1,-1,YES_5H1A4654 1.jpg
YES_5H1A5344,-1,YES_5H1A5344.jpg
YES_5H1A5378,1,YES_5H1A5378.jpg
YES_5H1A4927,0,YES_5H1A4927.jpg
YES_5H1A4931,0,YES_5H1A4931.jpg
YES_5H1A4925,-1,YES_5H1A4925.jpg
YES_5H1A5385,1,YES_5H1A5385.jpg
YES_5H1A5193,-1,YES_5H1A5193.jpg
YES_5H1A4528,-1,YES_5H1A4528.jpg
YES_5H1A5144,-1,YES_5H1A5144.jpg
YES_5H1A4448,-1,YES_5H1A4448.jpg
YES_5H1A4689,-1,YES_5H1A4689.jpg
YES_5H1A5226,0,YES_5H1A5226.jpg
YES_5H1A4886,0,YES_5H1A4886.jpg
YES_5H1A4892,0,YES_5H1A4892.jpg
YES_5H1A4893,0,YES_5H1A4893.jpg
YES_5H1A4887,0,YES_5H1A4887.jpg
YES_5H1A4850,-1,YES_5H1A4850.jpg
YES_5H1A5186,-1,YES_5H1A5186.jpg
YES_5H1A5192,-1,YES_5H1A5192.jpg
YES_5H1A5409,-1,YES_5H1A5409.jpg
YES_5H1A4918,-1,YES_5H1A4918.jpg
